CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),age_label,score_label,income_label,genre_label
2,Male,21,15,81,青年,优秀,低收入,
4,Female,23,16,77,青年,良好,低收入,
6,Female,22,17,76,青年,良好,低收入,
8,Female,23,18,94,青年,优秀,低收入,
10,Female,30,19,72,青年,良好,低收入,
12,Female,35,19,99,中年,优秀,低收入,
14,Female,24,20,77,青年,良好,低收入,
16,Male,22,20,79,青年,良好,低收入,
18,Male,20,21,66,青少年,良好,低收入,
20,Female,35,23,98,中年,优秀,低收入,
22,Male,25,24,73,青年,良好,低收入,
24,Male,31,25,73,中年,良好,低收入,
26,Male,29,28,82,青年,优秀,低收入,
28,Male,35,28,61,中年,良好,低收入,
30,Female,23,29,87,青年,优秀,低收入,
32,Female,21,30,73,青年,良好,低收入,
34,Male,18,33,92,青少年,优秀,低收入,
36,Female,21,33,81,青年,优秀,低收入,
38,Female,30,34,73,青年,良好,低收入,
40,Female,20,37,75,青少年,良好,低收入,
42,Male,24,38,92,青年,优秀,低收入,
46,Female,24,39,65,青年,良好,低收入,
