CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),age_label,score_label,income_label,genre_label
1,Male,19,15,39,青少年,中低分,低收入,
2,Male,21,15,81,青年,优秀,低收入,
3,Female,20,16,6,青少年,低分,低收入,
4,Female,23,16,77,青年,良好,低收入,
5,Female,31,17,40,中年,中低分,低收入,
6,Female,22,17,76,青年,良好,低收入,
7,Female,35,18,6,中年,低分,低收入,
8,Female,23,18,94,青年,优秀,低收入,
9,Male,64,19,3,中老年,低分,低收入,
10,Female,30,19,72,青年,良好,低收入,
11,Male,67,19,14,老年,低分,低收入,
12,Female,35,19,99,中年,优秀,低收入,
13,Female,58,20,15,中老年,低分,低收入,
14,Female,24,20,77,青年,良好,低收入,
15,Male,37,20,13,中年,低分,低收入,
16,Male,22,20,79,青年,良好,低收入,
17,Female,35,21,35,中年,中低分,低收入,
18,Male,20,21,66,青少年,良好,低收入,
19,Male,52,23,29,中老年,中低分,低收入,
20,Female,35,23,98,中年,优秀,低收入,
21,Male,35,24,35,中年,中低分,低收入,
22,Male,25,24,73,青年,良好,低收入,
23,Female,46,25,5,中年,低分,低收入,
24,Male,31,25,73,中年,良好,低收入,
25,Female,54,28,14,中老年,低分,低收入,
26,Male,29,28,82,青年,优秀,低收入,
27,Female,45,28,32,中年,中低分,低收入,
28,Male,35,28,61,中年,良好,低收入,
29,Female,40,29,31,中年,中低分,低收入,
30,Female,23,29,87,青年,优秀,低收入,
31,Male,60,30,4,中老年,低分,低收入,
32,Female,21,30,73,青年,良好,低收入,
33,Male,53,33,4,中老年,低分,低收入,
34,Male,18,33,92,青少年,优秀,低收入,
35,Female,49,33,14,中年,低分,低收入,
36,Female,21,33,81,青年,优秀,低收入,
37,Female,42,34,17,中年,低分,低收入,
38,Female,30,34,73,青年,良好,低收入,
39,Female,36,37,26,中年,中低分,低收入,
40,Female,20,37,75,青少年,良好,低收入,
41,Female,65,38,35,中老年,中低分,低收入,
42,Male,24,38,92,青年,优秀,低收入,
43,Male,48,39,36,中年,中低分,低收入,
44,Female,31,39,61,中年,良好,低收入,
45,Female,49,39,28,中年,中低分,低收入,
46,Female,24,39,65,青年,良好,低收入,
47,Female,50,40,55,中年,合格,低收入,
48,Female,27,40,47,青年,合格,低收入,
49,Female,29,40,42,青年,合格,低收入,
50,Female,31,40,42,中年,合格,低收入,
51,Female,49,42,52,中年,合格,低收入,
52,Male,33,42,60,中年,良好,低收入,
53,Female,31,43,54,中年,合格,低收入,
54,Male,59,43,60,中老年,良好,低收入,
55,Female,50,43,45,中年,合格,低收入,
56,Male,47,43,41,中年,合格,低收入,
57,Female,51,44,50,中老年,合格,低收入,
58,Male,69,44,46,老年,合格,低收入,
59,Female,27,46,51,青年,合格,低收入,
60,Male,53,46,46,中老年,合格,低收入,
61,Male,70,46,56,老年,合格,低收入,
62,Male,19,46,55,青少年,合格,低收入,
63,Female,67,47,52,老年,合格,低收入,
64,Female,54,47,59,中老年,合格,低收入,
65,Male,63,48,51,中老年,合格,低收入,
66,Male,18,48,59,青少年,合格,低收入,
67,Female,43,48,50,中年,合格,低收入,
68,Female,68,48,48,老年,合格,低收入,
69,Male,19,48,59,青少年,合格,低收入,
70,Female,32,48,47,中年,合格,低收入,
71,Male,70,49,55,老年,合格,低收入,
72,Female,47,49,42,中年,合格,低收入,
73,Female,60,50,49,中老年,合格,低收入,
74,Female,60,50,56,中老年,合格,低收入,
75,Male,59,54,47,中老年,合格,低收入,
76,Male,26,54,54,青年,合格,低收入,
77,Female,45,54,53,中年,合格,低收入,
78,Male,40,54,48,中年,合格,低收入,
79,Female,23,54,52,青年,合格,低收入,
80,Female,49,54,42,中年,合格,低收入,
81,Male,57,54,51,中老年,合格,低收入,
82,Male,38,54,55,中年,合格,低收入,
83,Male,67,54,41,老年,合格,低收入,
84,Female,46,54,44,中年,合格,低收入,
85,Female,21,54,57,青年,合格,低收入,
86,Male,48,54,46,中年,合格,低收入,
87,Female,55,57,58,中老年,合格,中等收入,
88,Female,22,57,55,青年,合格,中等收入,
89,Female,34,58,60,中年,良好,中等收入,
90,Female,50,58,46,中年,合格,中等收入,
91,Female,68,59,55,老年,合格,中等收入,
92,Male,18,59,41,青少年,合格,中等收入,
93,Male,48,60,49,中年,合格,中等收入,
94,Female,40,60,40,中年,中低分,中等收入,
95,Female,32,60,42,中年,合格,中等收入,
96,Male,24,60,52,青年,合格,中等收入,
97,Female,47,60,47,中年,合格,中等收入,
98,Female,27,60,50,青年,合格,中等收入,
99,Male,48,61,42,中年,合格,中等收入,
100,Male,20,61,49,青少年,合格,中等收入,
101,Female,23,62,41,青年,合格,中等收入,
102,Female,49,62,48,中年,合格,中等收入,
103,Male,67,62,59,老年,合格,中等收入,
104,Male,26,62,55,青年,合格,中等收入,
105,Male,49,62,56,中年,合格,中等收入,
106,Female,21,62,42,青年,合格,中等收入,
107,Female,66,63,50,老年,合格,中等收入,
108,Male,54,63,46,中老年,合格,中等收入,
109,Male,68,63,43,老年,合格,中等收入,
110,Male,66,63,48,老年,合格,中等收入,
111,Male,65,63,52,中老年,合格,中等收入,
112,Female,19,63,54,青少年,合格,中等收入,
113,Female,38,64,42,中年,合格,中等收入,
114,Male,19,64,46,青少年,合格,中等收入,
115,Female,18,65,48,青少年,合格,中等收入,
116,Female,19,65,50,青少年,合格,中等收入,
117,Female,63,65,43,中老年,合格,中等收入,
118,Female,49,65,59,中年,合格,中等收入,
119,Female,51,67,43,中老年,合格,中等收入,
120,Female,50,67,57,中年,合格,中等收入,
121,Male,27,67,56,青年,合格,中等收入,
122,Female,38,67,40,中年,中低分,中等收入,
123,Female,40,69,58,中年,合格,中等收入,
124,Male,39,69,91,中年,优秀,中等收入,
